step,spectral_efficiency_bps_hz,throughput_bits,total_queue_bits,ric_latency_ms,reward
179,3.249624,32496.24,19390046.91,0.152509,30557.24
180,5.405040,54050.40,19511180.52,0.207294,52099.28
181,2.632412,26324.12,19659224.40,0.199820,24358.20
182,9.032461,90324.61,19743555.79,0.160000,88350.25
183,12.411684,124116.84,19796262.95,0.156390,122137.21
184,2.861589,28615.89,19942303.06,0.158572,26621.66
185,4.046900,40469.00,20076330.05,0.154202,38461.37
186,6.196657,61966.57,20191091.48,0.155503,59947.46
187,3.995887,39958.87,20328652.61,0.155937,37926.01
188,9.134467,91344.67,20412435.93,0.154421,89303.43
189,14.249852,142498.52,20446329.41,0.154258,140453.89
190,12.518254,125182.54,20496626.87,0.157794,123132.88
191,6.677055,66770.55,20606816.33,0.154905,64709.86
192,1.917047,19170.47,20761653.85,0.153160,17094.31
193,7.241419,72414.19,20866599.66,0.152515,70327.53
194,5.870672,58706.72,20981468.94,0.154107,56608.57
195,8.845673,88456.73,21068780.22,0.155224,86349.85
196,5.704301,57043.01,21186737.21,0.156049,54924.33
197,16.056879,160568.79,21202312.42,0.154362,158448.56
198,2.724506,27245.06,21350363.36,0.153873,25110.02
199,12.183159,121831.59,21403515.77,0.156304,119691.24
200,2.972733,29727.33,21550420.43,0.214259,27572.29
201,11.906082,119060.82,21605415.61,0.197374,116900.28
202,4.229298,42292.98,21739354.64,0.156099,40119.04
203,5.076213,50762.13,21865512.51,0.157055,48575.58
204,4.819214,48192.14,21994952.37,0.154932,45992.65
205,7.706047,77060.47,22093283.90,0.154930,74851.14
206,6.809587,68095.87,22200580.02,0.158120,65875.82
207,2.295461,22954.61,22356225.41,0.156040,20718.99
208,9.836471,98364.71,22434436.70,0.156345,96121.27
209,10.438671,104386.71,22506705.99,0.153303,102136.04
210,4.157272,41572.72,22642021.27,0.155794,39308.52
211,4.318706,43187.06,22774258.21,0.154787,40909.63
212,3.688216,36882.16,22914128.05,0.153623,34590.74
213,4.720352,47203.52,23043692.54,0.153513,44899.15
214,4.944722,49447.22,23167749.32,0.157579,47130.44
215,6.421358,64213.58,23279943.74,0.155671,61885.58
216,13.402383,134023.83,23320399.91,0.208437,131691.79
217,4.410789,44107.89,23454732.02,0.153274,41762.42
218,2.327479,23274.79,23606561.23,0.155021,20914.13
219,4.264511,42645.11,23743100.12,0.155234,40270.80
220,6.847931,68479.31,23849732.82,0.155120,66094.33
221,4.052818,40528.18,23987036.64,0.153299,38129.48
222,4.954888,49548.88,24116287.76,0.160756,47137.25
223,14.523311,145233.11,24147014.65,0.154613,142818.41
224,7.734325,77343.25,24244231.40,0.155218,74918.83
225,4.618780,46187.80,24374027.60,0.151140,43750.40
226,5.095596,50955.96,24498911.63,0.155192,48506.07
227,6.017411,60174.11,24616433.52,0.155456,57712.46
228,2.237399,22373.99,24769579.54,0.154343,19897.03
229,10.521480,105214.80,24839356.74,0.153649,102730.87
230,9.899826,98998.26,24916990.48,0.154655,96506.56
231,4.012221,40122.21,25054244.27,0.154564,37616.79
232,8.534239,85342.39,25146173.87,0.153576,82827.78
233,15.553652,155536.52,25167021.35,0.153477,153019.82
234,12.867664,128676.64,25213728.72,0.154652,126155.26
235,5.671559,56715.59,25334077.13,0.163381,54182.18
236,8.840552,88405.52,25419887.61,0.167091,85863.53
237,2.961084,29610.84,25565956.77,0.161492,27054.25
238,4.802024,48020.24,25695176.53,0.157554,45450.72
239,10.713205,107132.05,25765380.48,0.157428,104555.51
240,12.939351,129393.51,25812162.97,0.155163,126812.30
241,9.534095,95340.95,25893486.02,0.153518,92751.60
242,11.793030,117930.30,25952363.72,0.155426,115335.06
243,6.170934,61709.34,26066046.38,0.155769,59102.73
244,9.482483,94824.83,26146989.55,0.156074,92210.13
245,10.597581,105975.81,26216277.74,0.154503,103354.18
246,4.563880,45638.80,26346638.94,0.157125,43004.13
247,7.816029,78160.29,26443886.65,0.156122,75515.90
248,8.463355,84633.55,26535133.10,0.158073,81980.03
249,7.087055,70870.55,26639614.56,0.158304,68206.59
250,5.968660,59686.60,26757119.96,0.213786,57010.89
251,5.839673,58396.73,26876435.23,0.157001,55709.09
252,9.434468,94344.68,26959018.55,0.159712,91648.78
253,9.628955,96289.55,27038352.99,0.156970,93585.72
254,5.086070,50860.70,27163748.30,0.155314,48144.32
255,6.381710,63817.10,27277659.20,0.154121,61089.33
256,4.588175,45881.75,27409473.45,0.156867,43140.81
257,6.786943,67869.43,27516588.02,0.151974,65117.77
258,5.990766,59907.66,27633456.36,0.154188,57144.32
259,5.008487,50084.87,27758859.49,0.154514,47308.98
260,5.882781,58827.81,27875295.68,0.154705,56040.28
261,6.732912,67329.12,27984822.56,0.153276,64530.64
262,4.221791,42217.91,28118548.65,0.157231,39406.06
263,3.527348,35273.48,28260499.17,0.154923,32447.43
264,8.150264,81502.64,28354500.53,0.154663,78667.19
265,5.353938,53539.38,28478169.15,0.153727,50691.56
266,2.804048,28040.48,28624992.67,0.155318,25177.98
267,2.162048,21620.48,28779500.18,0.152868,18742.53
268,5.947729,59477.29,28898078.89,0.154499,56587.49
269,12.689857,126898.57,28947972.31,0.157435,124003.78
270,12.217529,122175.29,28999669.02,0.295801,119275.33
271,4.764786,47647.86,29127021.16,0.157451,44735.16
