agent,num_ues,carrier_freq_ghz,bandwidth_mhz,cbr_profile,speed_profile,seed,num_steps,spectral_efficiency_bps_hz,queue_delay_p95_ms,ric_latency_mean_ms,total_reward,mean_throughput_bits,mean_queue_bits
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",45,5,14.053886,2.9296,0.008957,702543.83,140538.86,300971.00
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",46,5,15.026146,2.7221,0.008833,751175.12,150261.46,264402.58
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",47,5,14.334540,2.8653,0.008792,716581.18,143345.40,291673.07
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",48,5,15.298368,2.8341,0.009198,764787.81,152983.68,261142.50
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",49,5,14.982347,2.8786,0.008534,748981.43,149823.47,271861.92
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",51,5,15.559298,2.7669,0.008810,777838.24,155592.98,253294.14
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",50,5,14.391328,2.8856,0.008912,719422.62,143913.28,287519.56
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",42,5,17.114170,4.3777,0.009769,854524.17,171141.70,2368666.46
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",43,5,17.850591,4.2444,0.010628,891354.19,178505.91,2350743.46
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",44,5,17.013180,4.2331,0.009837,849473.58,170131.80,2370822.38
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",45,5,17.294164,4.3383,0.009240,863527.16,172941.64,2362060.23
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",46,5,17.920376,4.2229,0.008672,894851.62,179203.76,2334382.86
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",47,5,17.635426,4.3113,0.008793,880594.23,176354.26,2354136.11
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",49,5,17.763566,4.2047,0.009015,887003.92,177635.66,2348781.84
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",48,5,18.508099,4.2905,0.009041,924241.38,185080.99,2327174.29
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",50,5,17.582324,4.3475,0.009550,877940.29,175823.24,2351800.63
RoundRobin,30,0.7,10.0,"(4000,)","(0.0,)",51,5,18.775207,4.2110,0.010712,937601.21,187752.07,2318320.31
RoundRobin,30,2.0,10.0,"(4000,)","(0.0,)",42,5,14.388531,4.5158,0.009251,718201.32,143885.31,2450430.75
